,year,artists,song_count,cumsum
0,1921,Эрнест Хемингуэй,0.0,0.0
1,1921,The Beach Boys,0.0,0.0
2,1921,Johnny Cash,0.0,0.0
3,1921,The Rolling Stones,0.0,0.0
4,1921,Bob Dylan,0.0,0.0
5,1921,Frank Sinatra,0.0,0.0
6,1921,Ignacio Corsini,21.0,21.0
7,1921,Эрих Мария Ремарк,0.0,0.0
8,1921,Francisco Canaro,0.0,0.0
9,1921,Elvis Presley,0.0,0.0
10,1922,Francisco Canaro,0.0,0.0
11,1922,Frank Sinatra,0.0,0.0
12,1922,Bob Dylan,0.0,0.0
13,1922,The Rolling Stones,0.0,0.0
14,1922,Ignacio Corsini,39.0,60.0
15,1922,The Beach Boys,0.0,0.0
16,1922,Эрнест Хемингуэй,0.0,0.0
17,1922,Эрих Мария Ремарк,0.0,0.0
18,1922,Johnny Cash,0.0,0.0
19,1922,Elvis Presley,0.0,0.0
20,1923,Elvis Presley,0.0,0.0
21,1923,Эрнест Хемингуэй,0.0,0.0
22,1923,The Beach Boys,0.0,0.0
23,1923,Ignacio Corsini,19.0,79.0
24,1923,Frank Sinatra,0.0,0.0
25,1923,Эрих Мария Ремарк,0.0,0.0
26,1923,Bob Dylan,0.0,0.0
27,1923,Francisco Canaro,20.0,20.0
28,1923,Johnny Cash,0.0,0.0
29,1923,The Rolling Stones,0.0,0.0
30,1924,Francisco Canaro,80.0,100.0
31,1924,Эрнест Хемингуэй,0.0,0.0
32,1924,Ignacio Corsini,19.0,98.0
33,1924,The Beach Boys,0.0,0.0
34,1924,Elvis Presley,0.0,0.0
35,1924,The Rolling Stones,0.0,0.0
36,1924,Frank Sinatra,0.0,0.0
37,1924,Bob Dylan,0.0,0.0
38,1924,Эрих Мария Ремарк,0.0,0.0
39,1924,Johnny Cash,0.0,0.0
40,1925,Ignacio Corsini,40.0,138.0
41,1925,Bob Dylan,0.0,0.0
42,1925,Эрнест Хемингуэй,0.0,0.0
43,1925,The Beach Boys,0.0,0.0
44,1925,The Rolling Stones,0.0,0.0
45,1925,Frank Sinatra,0.0,0.0
46,1925,Francisco Canaro,31.0,131.0
47,1925,Эрих Мария Ремарк,0.0,0.0
48,1925,Johnny Cash,0.0,0.0
49,1925,Elvis Presley,0.0,0.0
50,1926,Ignacio Corsini,67.0,205.0
51,1926,Francisco Canaro,97.0,228.0
52,1926,Bob Dylan,0.0,0.0
53,1926,The Beach Boys,0.0,0.0
54,1926,Johnny Cash,0.0,0.0
55,1926,Frank Sinatra,0.0,0.0
56,1926,Elvis Presley,0.0,0.0
57,1926,Эрнест Хемингуэй,219.0,219.0
58,1926,Эрих Мария Ремарк,0.0,0.0
59,1926,The Rolling Stones,0.0,0.0
60,1927,The Beach Boys,0.0,0.0
61,1927,Francisco Canaro,227.0,455.0
62,1927,Johnny Cash,0.0,0.0
63,1927,Эрнест Хемингуэй,0.0,219.0
64,1927,Elvis Presley,0.0,0.0
65,1927,Ignacio Corsini,75.0,280.0
66,1927,Bob Dylan,0.0,0.0
67,1927,The Rolling Stones,0.0,0.0
68,1927,Frank Sinatra,0.0,0.0
69,1927,Эрих Мария Ремарк,0.0,0.0
70,1928,Эрнест Хемингуэй,0.0,219.0
71,1928,The Rolling Stones,0.0,0.0
72,1928,Francisco Canaro,90.0,545.0
73,1928,The Beach Boys,0.0,0.0
74,1928,Ignacio Corsini,100.0,380.0
75,1928,Эрих Мария Ремарк,0.0,0.0
76,1928,Bob Dylan,0.0,0.0
77,1928,Elvis Presley,0.0,0.0
78,1928,Johnny Cash,0.0,0.0
79,1928,Frank Sinatra,0.0,0.0
80,1929,The Rolling Stones,0.0,0.0
81,1929,Elvis Presley,0.0,0.0
82,1929,Эрнест Хемингуэй,180.0,399.0
83,1929,Frank Sinatra,0.0,0.0
84,1929,Johnny Cash,0.0,0.0
85,1929,Эрих Мария Ремарк,245.0,245.0
86,1929,Ignacio Corsini,59.0,439.0
87,1929,The Beach Boys,0.0,0.0
88,1929,Bob Dylan,0.0,0.0
89,1929,Francisco Canaro,134.0,679.0
90,1930,Эрих Мария Ремарк,0.0,245.0
91,1930,Elvis Presley,0.0,0.0
92,1930,Ignacio Corsini,60.0,499.0
93,1930,The Rolling Stones,0.0,0.0
94,1930,Johnny Cash,0.0,0.0
95,1930,Frank Sinatra,0.0,0.0
96,1930,Francisco Canaro,62.0,741.0
97,1930,The Beach Boys,0.0,0.0
98,1930,Эрнест Хемингуэй,0.0,399.0
99,1930,Bob Dylan,0.0,0.0
100,1931,Francisco Canaro,47.0,788.0
101,1931,Bob Dylan,0.0,0.0
102,1931,Ignacio Corsini,39.0,538.0
103,1931,Эрих Мария Ремарк,0.0,245.0
104,1931,Johnny Cash,0.0,0.0
105,1931,Эрнест Хемингуэй,0.0,399.0
106,1931,Elvis Presley,0.0,0.0
107,1931,The Beach Boys,0.0,0.0
108,1931,Frank Sinatra,0.0,0.0
109,1931,The Rolling Stones,0.0,0.0
110,1932,Elvis Presley,0.0,0.0
111,1932,Frank Sinatra,0.0,0.0
112,1932,Bob Dylan,0.0,0.0
113,1932,The Rolling Stones,0.0,0.0
114,1932,Эрнест Хемингуэй,0.0,399.0
115,1932,Эрих Мария Ремарк,0.0,245.0
116,1932,Ignacio Corsini,20.0,558.0
117,1932,Francisco Canaro,24.0,812.0
118,1932,The Beach Boys,0.0,0.0
119,1932,Johnny Cash,0.0,0.0
120,1933,Эрих Мария Ремарк,0.0,245.0
121,1933,Frank Sinatra,0.0,0.0
122,1933,The Rolling Stones,0.0,0.0
123,1933,Ignacio Corsini,20.0,578.0
124,1933,Johnny Cash,0.0,0.0
125,1933,Bob Dylan,0.0,0.0
126,1933,Эрнест Хемингуэй,0.0,399.0
127,1933,Francisco Canaro,4.0,816.0
128,1933,Elvis Presley,0.0,0.0
129,1933,The Beach Boys,0.0,0.0
130,1934,Ignacio Corsini,20.0,598.0
131,1934,Bob Dylan,0.0,0.0
132,1934,Johnny Cash,0.0,0.0
133,1934,Эрнест Хемингуэй,0.0,399.0
134,1934,Эрих Мария Ремарк,0.0,245.0
135,1934,Frank Sinatra,0.0,0.0
136,1934,The Rolling Stones,0.0,0.0
137,1934,The Beach Boys,0.0,0.0
138,1934,Elvis Presley,0.0,0.0
139,1934,Francisco Canaro,4.0,820.0
140,1935,Elvis Presley,0.0,0.0
141,1935,Frank Sinatra,0.0,0.0
142,1935,Francisco Canaro,10.0,830.0
143,1935,Эрнест Хемингуэй,277.0,676.0
144,1935,The Rolling Stones,0.0,0.0
145,1935,Johnny Cash,0.0,0.0
146,1935,Bob Dylan,0.0,0.0
147,1935,Ignacio Corsini,0.0,598.0
148,1935,The Beach Boys,0.0,0.0
149,1935,Эрих Мария Ремарк,0.0,245.0
150,1936,Эрнест Хемингуэй,0.0,676.0
151,1936,The Rolling Stones,0.0,0.0
152,1936,Johnny Cash,0.0,0.0
153,1936,Ignacio Corsini,0.0,598.0
154,1936,Elvis Presley,0.0,0.0
155,1936,Francisco Canaro,15.0,845.0
156,1936,Bob Dylan,0.0,0.0
157,1936,Frank Sinatra,0.0,0.0
158,1936,Эрих Мария Ремарк,0.0,245.0
159,1936,The Beach Boys,0.0,0.0
160,1937,The Beach Boys,0.0,0.0
161,1937,Johnny Cash,0.0,0.0
162,1937,Elvis Presley,0.0,0.0
163,1937,Эрнест Хемингуэй,0.0,676.0
164,1937,The Rolling Stones,0.0,0.0
165,1937,Bob Dylan,0.0,0.0
166,1937,Эрих Мария Ремарк,0.0,245.0
167,1937,Frank Sinatra,0.0,0.0
168,1937,Francisco Canaro,13.0,858.0
169,1937,Ignacio Corsini,0.0,598.0
170,1938,The Beach Boys,0.0,0.0
171,1938,Francisco Canaro,19.0,877.0
172,1938,Эрнест Хемингуэй,0.0,676.0
173,1938,The Rolling Stones,0.0,0.0
174,1938,Ignacio Corsini,0.0,598.0
175,1938,Bob Dylan,0.0,0.0
176,1938,Frank Sinatra,0.0,0.0
177,1938,Elvis Presley,0.0,0.0
178,1938,Johnny Cash,0.0,0.0
179,1938,Эрих Мария Ремарк,0.0,245.0
180,1939,The Beach Boys,0.0,0.0
181,1939,Johnny Cash,0.0,0.0
182,1939,The Rolling Stones,0.0,0.0
183,1939,Ignacio Corsini,0.0,598.0
184,1939,Эрнест Хемингуэй,0.0,676.0
185,1939,Elvis Presley,0.0,0.0
186,1939,Bob Dylan,0.0,0.0
187,1939,Эрих Мария Ремарк,0.0,245.0
188,1939,Francisco Canaro,8.0,885.0
189,1939,Frank Sinatra,3.0,3.0
190,1940,Эрих Мария Ремарк,0.0,245.0
191,1940,The Rolling Stones,0.0,0.0
192,1940,Elvis Presley,0.0,0.0
193,1940,Bob Dylan,0.0,0.0
194,1940,Johnny Cash,0.0,0.0
195,1940,Francisco Canaro,11.0,896.0
196,1940,The Beach Boys,0.0,0.0
197,1940,Эрнест Хемингуэй,391.0,1067.0
198,1940,Frank Sinatra,0.0,3.0
199,1940,Ignacio Corsini,11.0,609.0
200,1941,Эрих Мария Ремарк,0.0,245.0
201,1941,Francisco Canaro,4.0,900.0
202,1941,Bob Dylan,0.0,0.0
203,1941,The Beach Boys,0.0,0.0
204,1941,Frank Sinatra,0.0,3.0
205,1941,Johnny Cash,0.0,0.0
206,1941,The Rolling Stones,0.0,0.0
207,1941,Elvis Presley,0.0,0.0
208,1941,Ignacio Corsini,0.0,609.0
209,1941,Эрнест Хемингуэй,0.0,1067.0
210,1942,Эрих Мария Ремарк,0.0,245.0
211,1942,Johnny Cash,0.0,0.0
212,1942,Elvis Presley,0.0,0.0
213,1942,Bob Dylan,0.0,0.0
214,1942,The Rolling Stones,0.0,0.0
215,1942,Эрнест Хемингуэй,0.0,1067.0
216,1942,The Beach Boys,0.0,0.0
217,1942,Frank Sinatra,0.0,3.0
218,1942,Francisco Canaro,13.0,913.0
219,1942,Ignacio Corsini,0.0,609.0
220,1943,The Beach Boys,0.0,0.0
221,1943,The Rolling Stones,0.0,0.0
222,1943,Эрнест Хемингуэй,0.0,1067.0
223,1943,Frank Sinatra,17.0,20.0
224,1943,Francisco Canaro,0.0,913.0
225,1943,Johnny Cash,0.0,0.0
226,1943,Эрих Мария Ремарк,0.0,245.0
227,1943,Bob Dylan,0.0,0.0
228,1943,Ignacio Corsini,0.0,609.0
229,1943,Elvis Presley,0.0,0.0
230,1944,Ignacio Corsini,0.0,609.0
231,1944,Francisco Canaro,15.0,928.0
232,1944,Эрих Мария Ремарк,0.0,245.0
233,1944,The Rolling Stones,0.0,0.0
234,1944,Bob Dylan,0.0,0.0
235,1944,Frank Sinatra,35.0,55.0
236,1944,Elvis Presley,0.0,0.0
237,1944,Эрнест Хемингуэй,0.0,1067.0
238,1944,Johnny Cash,0.0,0.0
239,1944,The Beach Boys,0.0,0.0
240,1945,Ignacio Corsini,0.0,609.0
241,1945,Bob Dylan,0.0,0.0
242,1945,Frank Sinatra,4.0,59.0
243,1945,Эрих Мария Ремарк,536.0,781.0
244,1945,Эрнест Хемингуэй,0.0,1067.0
245,1945,Johnny Cash,0.0,0.0
246,1945,The Beach Boys,0.0,0.0
247,1945,Elvis Presley,0.0,0.0
248,1945,The Rolling Stones,0.0,0.0
249,1945,Francisco Canaro,0.0,928.0
250,1946,Johnny Cash,0.0,0.0
251,1946,Эрих Мария Ремарк,0.0,781.0
252,1946,The Rolling Stones,0.0,0.0
253,1946,Frank Sinatra,0.0,59.0
254,1946,Ignacio Corsini,11.0,620.0
255,1946,The Beach Boys,0.0,0.0
256,1946,Bob Dylan,0.0,0.0
257,1946,Elvis Presley,0.0,0.0
258,1946,Francisco Canaro,2.0,930.0
259,1946,Эрнест Хемингуэй,0.0,1067.0
260,1947,Frank Sinatra,0.0,59.0
261,1947,Bob Dylan,0.0,0.0
262,1947,Elvis Presley,0.0,0.0
263,1947,Ignacio Corsini,0.0,620.0
264,1947,Эрих Мария Ремарк,0.0,781.0
265,1947,The Rolling Stones,0.0,0.0
266,1947,Francisco Canaro,3.0,933.0
267,1947,The Beach Boys,0.0,0.0
268,1947,Johnny Cash,3.0,3.0
269,1947,Эрнест Хемингуэй,0.0,1067.0
270,1948,Bob Dylan,0.0,0.0
271,1948,Ignacio Corsini,0.0,620.0
272,1948,Francisco Canaro,0.0,933.0
273,1948,The Beach Boys,0.0,0.0
274,1948,Johnny Cash,0.0,3.0
275,1948,Эрих Мария Ремарк,0.0,781.0
276,1948,Elvis Presley,0.0,0.0
277,1948,Эрнест Хемингуэй,0.0,1067.0
278,1948,Frank Sinatra,0.0,59.0
279,1948,The Rolling Stones,0.0,0.0
280,1949,Эрих Мария Ремарк,0.0,781.0
281,1949,Elvis Presley,0.0,0.0
282,1949,Эрнест Хемингуэй,0.0,1067.0
283,1949,Bob Dylan,0.0,0.0
284,1949,The Rolling Stones,0.0,0.0
285,1949,Ignacio Corsini,0.0,620.0
286,1949,Frank Sinatra,0.0,59.0
287,1949,Johnny Cash,1.0,4.0
288,1949,Francisco Canaro,2.0,935.0
289,1949,The Beach Boys,0.0,0.0
290,1950,Johnny Cash,0.0,4.0
291,1950,Frank Sinatra,0.0,59.0
292,1950,The Rolling Stones,0.0,0.0
293,1950,Ignacio Corsini,0.0,620.0
294,1950,Bob Dylan,0.0,0.0
295,1950,The Beach Boys,0.0,0.0
296,1950,Francisco Canaro,0.0,935.0
297,1950,Эрих Мария Ремарк,0.0,781.0
298,1950,Elvis Presley,0.0,0.0
299,1950,Эрнест Хемингуэй,94.0,1161.0
300,1951,Johnny Cash,1.0,5.0
301,1951,The Rolling Stones,0.0,0.0
302,1951,Francisco Canaro,2.0,937.0
303,1951,Ignacio Corsini,0.0,620.0
304,1951,Elvis Presley,0.0,0.0
305,1951,The Beach Boys,0.0,0.0
306,1951,Эрих Мария Ремарк,0.0,781.0
307,1951,Frank Sinatra,0.0,59.0
308,1951,Bob Dylan,0.0,0.0
309,1951,Эрнест Хемингуэй,0.0,1161.0
310,1952,Elvis Presley,0.0,0.0
311,1952,Эрнест Хемингуэй,54.0,1215.0
312,1952,Francisco Canaro,1.0,938.0
313,1952,Bob Dylan,0.0,0.0
314,1952,Ignacio Corsini,0.0,620.0
315,1952,The Rolling Stones,0.0,0.0
316,1952,The Beach Boys,0.0,0.0
317,1952,Эрих Мария Ремарк,0.0,781.0
318,1952,Johnny Cash,0.0,5.0
319,1952,Frank Sinatra,0.0,59.0
320,1953,Bob Dylan,0.0,0.0
321,1953,Эрих Мария Ремарк,0.0,781.0
322,1953,Francisco Canaro,0.0,938.0
323,1953,Ignacio Corsini,0.0,620.0
324,1953,Frank Sinatra,0.0,59.0
325,1953,Эрнест Хемингуэй,0.0,1215.0
326,1953,Johnny Cash,0.0,5.0
327,1953,Elvis Presley,0.0,0.0
328,1953,The Beach Boys,0.0,0.0
329,1953,The Rolling Stones,0.0,0.0
330,1954,The Beach Boys,0.0,0.0
331,1954,Elvis Presley,0.0,0.0
332,1954,Эрих Мария Ремарк,0.0,781.0
333,1954,The Rolling Stones,0.0,0.0
334,1954,Bob Dylan,0.0,0.0
335,1954,Эрнест Хемингуэй,0.0,1215.0
336,1954,Ignacio Corsini,0.0,620.0
337,1954,Johnny Cash,3.0,8.0
338,1954,Frank Sinatra,18.0,77.0
339,1954,Francisco Canaro,0.0,938.0
340,1955,Francisco Canaro,0.0,938.0
341,1955,Elvis Presley,0.0,0.0
342,1955,The Beach Boys,0.0,0.0
343,1955,Эрнест Хемингуэй,0.0,1215.0
